Bandit,Reward,Algorithm
3,4.197288425386064,ThompsonSampling
3,4.104252049143314,ThompsonSampling
3,5.8483242040666,ThompsonSampling
3,5.5571872074015705,ThompsonSampling
3,4.71519749707202,ThompsonSampling
3,3.8749410253233756,ThompsonSampling
3,2.9383920105332457,ThompsonSampling
3,3.0948156479885838,ThompsonSampling
3,2.694537566025472,ThompsonSampling
3,3.258160834415085,ThompsonSampling
3,3.208696979370292,ThompsonSampling
3,5.043849795580151,ThompsonSampling
3,4.424743464033821,ThompsonSampling
3,6.936521763809678,ThompsonSampling
3,3.914222350271238,ThompsonSampling
3,5.172640312389465,ThompsonSampling
3,1.6688972866557585,ThompsonSampling
3,3.7001904561454233,ThompsonSampling
0,1.5599063336108552,ThompsonSampling
3,3.3768135008620392,ThompsonSampling
3,2.836460875557685,ThompsonSampling
3,3.7698006325417444,ThompsonSampling
0,0.2133130061959888,ThompsonSampling
3,4.012362962039647,ThompsonSampling
3,3.887677055176188,ThompsonSampling
3,3.8056753302934516,ThompsonSampling
3,2.85571010606791,ThompsonSampling
3,4.6213777952950235,ThompsonSampling
3,4.229718505651149,ThompsonSampling
3,4.752637262580604,ThompsonSampling
3,4.1274649215183095,ThompsonSampling
3,3.1334761076742867,ThompsonSampling
3,2.796636872164823,ThompsonSampling
3,1.9181763429107321,ThompsonSampling
2,2.802741238736592,ThompsonSampling
3,4.186284760206566,ThompsonSampling
3,4.196185492277419,ThompsonSampling
3,3.5558255800706253,ThompsonSampling
3,5.538800247274736,ThompsonSampling
3,3.4843825706481324,ThompsonSampling
3,4.639779901484474,ThompsonSampling
3,5.240620983952843,ThompsonSampling
3,3.086812886628239,ThompsonSampling
3,4.755211514206591,ThompsonSampling
3,2.7072660122474206,ThompsonSampling
3,3.6051223250438977,ThompsonSampling
3,5.88013238823924,ThompsonSampling
3,3.088779339512776,ThompsonSampling
3,4.513460898282033,ThompsonSampling
3,3.9498063096026748,ThompsonSampling
3,4.852436760745728,ThompsonSampling
3,4.528269110848422,ThompsonSampling
3,4.157853229062094,ThompsonSampling
3,4.93004759717806,ThompsonSampling
3,3.7819539903110546,ThompsonSampling
3,2.7952588035057886,ThompsonSampling
3,2.3390922892744506,ThompsonSampling
3,5.671285331180016,ThompsonSampling
3,5.569827400214077,ThompsonSampling
3,5.040629205637094,ThompsonSampling
3,2.7559794689195787,ThompsonSampling
3,3.4853603331113767,ThompsonSampling
3,3.4966031599383176,ThompsonSampling
3,4.085068410415577,ThompsonSampling
3,5.116210543512166,ThompsonSampling
3,4.7464187192463125,ThompsonSampling
3,4.091854066864422,ThompsonSampling
3,5.076997616157813,ThompsonSampling
3,2.3609773477795084,ThompsonSampling
3,2.258923353243529,ThompsonSampling
3,3.5446490862937097,ThompsonSampling
3,2.084544845127217,ThompsonSampling
3,5.03185418778034,ThompsonSampling
3,2.8671693459748053,ThompsonSampling
3,2.9122454696766518,ThompsonSampling
3,5.394831970095055,ThompsonSampling
3,3.6301363332302943,ThompsonSampling
3,4.9654048300008435,ThompsonSampling
3,4.2958734899420765,ThompsonSampling
3,5.047491990661083,ThompsonSampling
3,5.2531876423236294,ThompsonSampling
3,2.4719945938437786,ThompsonSampling
3,5.3759541204755035,ThompsonSampling
3,4.445838529375975,ThompsonSampling
3,3.2295763552435917,ThompsonSampling
3,4.308802188011469,ThompsonSampling
3,4.3933716554732705,ThompsonSampling
3,2.8551057133834634,ThompsonSampling
3,5.32114482622558,ThompsonSampling
3,3.494513162033811,ThompsonSampling
2,1.3698081236502209,ThompsonSampling
3,3.314331330817132,ThompsonSampling
3,4.771761831794042,ThompsonSampling
3,5.596780591542271,ThompsonSampling
1,2.8217930651293486,ThompsonSampling
3,5.59467165086164,ThompsonSampling
3,3.2547764027542683,ThompsonSampling
3,5.576738791629158,ThompsonSampling
3,3.5890539946977458,ThompsonSampling
3,4.778188035680905,ThompsonSampling
3,3.2436681122802327,ThompsonSampling
3,4.943249951628526,ThompsonSampling
3,3.555357708133867,ThompsonSampling
3,2.911104396711525,ThompsonSampling
3,2.629479899555526,ThompsonSampling
3,5.922233261822105,ThompsonSampling
3,2.058581896326582,ThompsonSampling
